Occupation,Median wage (US),Projected growth (by 2031),Risk level,Risk level (voted),Job score
Recreation Workers ,"31,680",0.1,0.0803,0.2788,6.5/10
Telecommunications Engineering Specialists ,"126,900",0.043,0.2624,0.46,6.5/10
Media Programming Directors ,"85,320",0.077,0.32,0.61,6.5/10
Talent Directors ,"85,320",0.077,0.35,0.15,6.5/10
Clinical Data Managers ,"103,500",0.358,0.46,0.61,6.5/10
Electrical Engineers ,"103,320",0.016,0.276,0.2711,6.5/10
Geothermal Production Managers ,"107,560",0.035,0.2014,0.63,6.5/10
Supply Chain Managers ,"98,560",0.084,0.38,0.42,6.5/10
Regulatory Affairs Managers ,"128,620",0.06,0.34,0.52,6.5/10
"First-Line Supervisors of Mechanics, Installers, and Repairers ","73,140",0.036,0.2617,0.36,6.5/10
Commercial Divers ,"68,300",0.147,0.0903,0.41,6.5/10
"Forestry and Conservation Science Teachers, Postsecondary ","96,500",0.083,0.0761,0.42,6.5/10
Market Research Analysts and Marketing Specialists ,"68,230",0.19,0.4,0.52,6.5/10
"Orthopedic Surgeons, Except Pediatric ",-,0.027,0,0.2134,6.5/10
Recreational Therapists ,"51,330",0.036,0,0.2237,6.5/10
Microbiologists ,"81,990",0.09,0.36,0.34,6.5/10
"Chemistry Teachers, Postsecondary ","80,720",0.077,0.1356,0.42,6.5/10
Millwrights ,"60,930",0.052,0.1909,0.2818,6.5/10
Adapted Physical Education Specialists ,"63,950",0.068,0,0.25,6.5/10
Electrical Power-Line Installers and Repairers ,"82,340",0.032,0.2707,0.2458,6.4/10
Mechatronics Engineers ,"104,600",0,0.38,0.2376,6.4/10
"Plumbers, Pipefitters, and Steamfitters ","60,090",0.019,0.2063,0.2132,6.4/10
Solar Sales Representatives and Assessors ,"97,710",0.051,0.34,0.15,6.4/10
Social and Human Service Assistants ,"38,520",0.125,0.218,0.32,6.4/10
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary ","97,770",0.072,0.062,0.34,6.4/10
Fitness and Wellness Coordinators ,"56,090",0.095,0,0.36,6.4/10
"Judges, Magistrate Judges, and Magistrates ","151,030",-0.006,0.2122,0.2791,6.4/10
"Communications Teachers, Postsecondary ","76,250",0.073,0.1034,0.54,6.4/10
Occupational Health and Safety Technicians ,"57,970",0.061,0.1769,0.2941,6.4/10
Conservation Scientists ,"64,460",0.03,0.1225,0.2708,6.4/10
"Career/Technical Education Teachers, Secondary School ","62,500",0.033,0.0359,0.31,6.4/10
Chemists ,"80,670",0.063,0.51,0.33,6.3/10
Rehabilitation Counselors ,"39,990",0.105,0.1457,0.35,6.3/10
Web Developers ,"78,580",0.303,0.39,0.54,6.3/10
Administrative Services Managers ,"103,330",0.067,0.43,0.43,6.3/10
Biofuels Production Managers ,"107,560",0.035,0.2997,0.5,6.3/10
Biomass Power Plant Managers ,"107,560",0.035,0.3,0.5,6.3/10
Chief Sustainability Officers ,"189,520",-0.073,0.0298,0.38,6.3/10
Self-Enrichment Teachers ,"44,110",0.176,0.37,0.37,6.3/10
Search Marketing Strategists ,"68,230",0.19,0.49,0.53,6.3/10
Prosthodontists ,"100,950",0.051,0,0.47,6.3/10
First-Line Supervisors of Construction Trades and Extraction Workers ,"74,080",0.041,0.1394,0.33,6.3/10
Solar Energy Installation Managers ,"74,080",0.041,0.0845,0.38,6.3/10
"Environmental Science Teachers, Postsecondary ","83,040",0.077,0.0711,0.31,6.3/10
Mathematicians ,"112,110",-0.001,0.2083,0.285,6.3/10
Obstetricians and Gynecologists ,-,0.017,0,0.217,6.3/10
Radiation Therapists ,"89,530",0.063,0.34,0.4,6.3/10
Fashion Designers ,"76,700",0.025,0.1332,0.31,6.3/10
Fire-Prevention and Protection Engineers ,"100,660",0.035,0.013,0.25,6.3/10
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers ","27,270",0.164,0.31,0.2861,6.2/10
Nanosystems Engineers ,"104,600",0,0.092,0.45,6.2/10
Solar Energy Systems Engineers ,"104,600",0,0.1125,0.44,6.2/10
Telecommunications Line Installers and Repairers ,"60,580",0.092,0.45,0.37,6.2/10
Detectives and Criminal Investigators ,"86,280",-0.007,0.1297,0.2947,6.2/10
Network and Computer Systems Administrators ,"90,520",0.034,0.44,0.37,6.2/10
"Hairdressers, Hairstylists, and Cosmetologists ","33,290",0.109,0.2961,0.2813,6.2/10
"Recreation and Fitness Studies Teachers, Postsecondary ","72,650",0.071,0.0289,0.35,6.2/10
Wind Turbine Service Technicians ,"57,320",0.443,0.35,0.36,6.2/10
Set and Exhibit Designers ,"59,990",0.052,0,0.35,6.2/10
"Economics Teachers, Postsecondary ","103,930",0.084,0.51,0.35,6.2/10
"Sociology Teachers, Postsecondary ","78,970",0.076,0.2027,0.25,6.2/10
Nuclear Engineers ,"122,480",-0.111,0.1501,0.2205,6.2/10
"Arbitrators, Mediators, and Conciliators ","64,030",0.062,0.46,0.2813,6.2/10
"Surgeons, All Other ",-,0.026,0,0.32,6.2/10
Clinical Research Coordinators ,"144,440",0.059,0.49,0.42,6.1/10
Community Health Workers ,"46,190",0.159,0.2041,0.3,6.1/10
"Airline Pilots, Copilots, and Flight Engineers ","211,790",0.06,0.65,0.4,6.1/10
Industrial Ecologists ,"76,480",0.047,0.2383,0.32,6.1/10
"Business Teachers, Postsecondary ","88,790",0.062,0.44,0.45,6.1/10
Labor Relations Specialists ,"82,010",-0.026,0.31,0.1731,6.1/10
Dietitians and Nutritionists ,"66,450",0.068,0.0949,0.51,6.1/10
Logistics Analysts ,"77,520",0.277,0.54,0.61,6.1/10
"Telecommunications Equipment Installers and Repairers, Except Line Installers ","59,960",0.081,0.38,0.38,6.1/10
Biofuels/Biodiesel Technology and Product Development Managers ,"159,920",0.023,0.2824,0.46,6.1/10
Food Service Managers ,"61,310",0.098,0.49,0.39,6.1/10
Business Continuity Planners ,"75,990",0.05,0.33,0.43,6.1/10
"Library Science Teachers, Postsecondary ","76,370",0.076,0.1933,0,6.1/10
Home Health Aides ,"30,180",0.254,0.38,0.2955,6.1/10
Hydrologists ,"85,990",-0.004,0.0598,0.25,6.1/10
Zoologists and Wildlife Biologists ,"67,430",0.007,0.1612,0.213,6.0/10
Fire Inspectors and Investigators ,"69,450",0.031,0.0421,0.34,6.0/10
Audiologists ,"82,680",0.104,0.1127,0.73,6.0/10
Food Scientists and Technologists ,"79,860",0.057,0.38,0.32,6.0/10
Economists ,"113,940",0.057,0.51,0.37,6.0/10
Tile and Stone Setters ,"48,340",0.09,0.43,0.26,6.0/10
Special Effects Artists and Animators ,"98,950",0.054,0.48,0.37,6.0/10
Bioinformatics Scientists ,"87,300",0.038,0.1709,0.42,6.0/10
"Service Unit Operators, Oil and Gas ","50,140",0.175,0.37,0.52,6.0/10
Photographers ,"40,170",0.089,0.2437,0.33,6.0/10
Photonics Engineers ,"104,600",0,0.2449,0.2917,6.0/10
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products ","97,710",0.051,0.6,0.38,6.0/10
Fuel Cell Engineers ,"96,310",0.022,0.2677,1,6.0/10
Pharmacists ,"132,750",0.024,0.34,0.5,6.0/10
Childcare Workers ,"28,520",0.065,0.32,0.2057,6.0/10
Museum Technicians and Conservators ,"47,270",0.127,0.34,0.31,6.0/10
"Radio, Cellular, and Tower Equipment Installers and Repairers ","59,720",0.056,0.31,0.2903,5.9/10
Music Directors and Composers ,"62,940",0.049,0.0882,0.37,5.9/10
Sound Engineering Technicians ,"60,670",0.075,0.39,0.2911,5.9/10
Naturopathic Physicians ,"106,230",0,0.0875,0.46,5.9/10
Transportation Planners ,"88,900",0.016,0.1314,0.39,5.9/10
Commercial and Industrial Designers ,"75,910",0.032,0.2993,0.2886,5.9/10
"Computer Science Teachers, Postsecondary ","84,760",0.072,0.1659,0.54,5.9/10
Purchasing Managers ,"131,350",0.038,0.45,0.44,5.9/10
Climate Change Policy Analysts ,"76,480",0.047,0.37,0.32,5.9/10
Skincare Specialists ,"38,060",0.167,0.46,0.2993,5.9/10
Database Administrators ,"99,890",0.081,0.47,0.53,5.9/10
Probation Officers and Correctional Treatment Specialists ,"59,860",0.001,0.2177,0.2838,5.9/10
Data Warehousing Specialists ,"134,870",0.103,0.62,0.56,5.9/10
Business Intelligence Analysts ,"103,500",0.358,0.69,0.56,5.9/10
Media Technical Directors/Managers ,"85,320",0.077,0.5,0.52,5.9/10
Pediatric Surgeons ,-,0.022,0,0.291,5.9/10
Carpenters ,"51,390",0.022,0.1773,0.35,5.9/10
Human Resources Specialists ,"64,240",0.075,0.57,0.45,5.8/10
Fish and Game Wardens ,"59,500",-0.035,0,0.1793,5.8/10
Occupational Therapy Aides ,"37,060",0.136,0.1662,0.2727,5.8/10
Exercise Physiologists ,"51,350",0.091,0.0266,0.44,5.8/10
"Geography Teachers, Postsecondary ","81,920",0.076,0.1368,0.56,5.8/10
Gambling Managers ,"80,710",0.13,0.39,0.46,5.8/10
"Foreign Language and Literature Teachers, Postsecondary ","76,030",0.078,0.4,0.48,5.8/10
Landscape Architects ,"73,210",-0.001,0,0.35,5.8/10
Anesthesiologists ,-,0.011,0.1437,0.2946,5.8/10
"Poets, Lyricists and Creative Writers ","73,150",0.041,0.44,0.33,5.8/10
Veterinary Assistants and Laboratory Animal Caretakers ,"34,740",0.194,0.53,0.2554,5.8/10
Microsystems Engineers ,"104,600",0,0.2751,0.45,5.8/10
Wind Energy Engineers ,"104,600",0,0.2884,0.25,5.8/10
Environmental Compliance Inspectors ,"71,690",0.043,0.34,0.32,5.8/10
Equal Opportunity Representatives and Officers ,"71,690",0.043,0.34,0.33,5.8/10
Nannies ,"28,520",0.065,0.2707,0.29,5.8/10
Financial and Investment Analysts ,"95,080",0.086,0.79,0.52,5.8/10
Government Property Inspectors and Investigators ,"71,690",0.043,0.2994,0.7,5.8/10
Dermatologists ,-,0.031,0,0.34,5.7/10
Atmospheric and Space Scientists ,"83,780",0.036,0.1955,0.39,5.7/10
Orthoptists ,"106,230",0,0.2299,0.4,5.7/10
"Directors, Religious Activities and Education ","49,380",0.036,0,0.33,5.7/10
Solar Photovoltaic Installers ,"45,230",0.272,0.35,0.25,5.7/10
Musicians and Singers ,-,0.042,0.45,0.2544,5.7/10
Structural Iron and Steel Workers ,"60,500",0.043,0.2839,0.36,5.7/10
Security and Fire Alarm Systems Installers ,"50,130",0.047,0.45,0.3,5.7/10
Interior Designers ,"61,590",0.009,0,0.38,5.7/10
"Special Education Teachers, Middle School ","62,990",0.035,0.138,0.125,5.7/10
